Voter Wallet Address,Application ID,Project Name,Assigned votes
Badgeholder 1,1f64b8a1-bdbe-4068-8711-603b6624fb58,Forest,25000
Badgeholder 1,28288464-b209-4206-84ac-d3d47b340169,Spacescope: API service for the Filecoin ecosystem,30000
Badgeholder 1,2bd98798-00fc-4ee2-846b-543627dfae0c,Beryx Filecoin API,20000
Badgeholder 1,32c9890d-111f-4652-92ae-4d538018f11c,Secured Finance ,60000
Badgeholder 1,4499d1d8-a659-41f0-a8ee-845813d3c316,Blockscout Open Source Filecoin Explorer,20000
Badgeholder 1,4c103024-a6f6-4419-99ac-f73ae6280d84,FIL-B (FIL Builders) DX and Community,35000
Badgeholder 1,62ab931a-d667-41c4-a9f6-0dd33986675b,Chain.Love,25000
Badgeholder 1,6a76818e-f2da-4094-a94d-b781e841c0fa,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,60000
Badgeholder 1,7a2776ec-ce9a-4654-bec4-fcfd5d8417ba,FilOz – Advancing the Filecoin Protocol,30000
Badgeholder 1,8d43236b-7b9a-4559-b9e2-d9c1e6613df4,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",20000
Badgeholder 1,99448aa8-08fc-4ada-afce-ff05457fe5b8,Axelar Network,30000
Badgeholder 1,a5306256-ea84-45ed-9587-f4f3ed403e6e,Safe on Filecoin,20000
Badgeholder 1,d6a289df-2b58-4717-9a6d-f9f95a6e6255,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",50000
Badgeholder 1,e728ac44-f9fc-4d7b-b8a6-39ad50c75802,SealGuard,25000
Badgeholder 1,f16c41b8-9b64-4cd2-a02a-02e3effc751e,Filscan Explorer,20000
Badgeholder 1,f5d89c28-94fc-4bbe-b761-daafdbb23836,Filecoin Beam,40000
Badgeholder 10,0b4979fd-39c8-451d-a993-11e65910c398,chainfee,38000
Badgeholder 10,1407a021-8b89-40ff-bc7b-de04d960b946,Filecoin Community Service -VenusHub,45000
Badgeholder 10,163ab215-74db-458f-bb91-95d950e28d4b,Filecoin FIPs Tracker,9000
Badgeholder 10,22faefcd-a56d-4560-9573-e6703d441b78,Filet Finance,17000
Badgeholder 10,2d1d635b-d63e-45ae-83a1-d5ebdac6b7b5,Lynx – Storage Provider Retrieval Analytics Platform,21500
Badgeholder 10,4499d1d8-a659-41f0-a8ee-845813d3c316,Blockscout Open Source Filecoin Explorer,10000
Badgeholder 10,53604d52-caf7-4775-800e-788da6f6eace,OrbitChina,45000
Badgeholder 10,5c01c7c2-4c6c-4a05-b3db-c952e2726abe,Boost,13000
Badgeholder 10,6a76818e-f2da-4094-a94d-b781e841c0fa,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,33000
Badgeholder 10,744d619d-36dc-4fda-9389-8a0a2c1b1b1e,ND Labs,21500
Badgeholder 10,95d06632-35cf-4c8a-883e-5b1dd865edbb,OneForm – SocialCap,500
Badgeholder 10,9ef5342a-8500-41b3-9423-2d05e93c027e,Filecoin Client Implementation - Venus,32000
Badgeholder 10,a6b88855-f0f2-45d0-abe3-a5da9c282564,Filecoin Deal Tool - Droplet,21000
Badgeholder 10,a9a4e608-e6d5-46da-9963-4cd4ae35c372,Crossfi,55000
Badgeholder 10,b5872441-4eb3-4e65-b1af-8fddf990bcc3,filecoin-checker,33000
Badgeholder 10,e6cc730e-b8dd-40f3-933a-3b196bd89018,CIDgravity Filecoin Gateway,10000
Badgeholder 10,e7158e41-c58e-4b5c-af42-4359da146d46,MetaEra,500
Badgeholder 10,f16c41b8-9b64-4cd2-a02a-02e3effc751e,Filscan Explorer,55000
Badgeholder 10,f4976f77-f232-49d3-b605-cfe78eefd10c,Filliquid,50000
Badgeholder 11,06b06e85-3bca-4636-b07c-d0b59e534357,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,500
Badgeholder 11,0b4979fd-39c8-451d-a993-11e65910c398,chainfee,5000
Badgeholder 11,1104a741-807e-4508-a12f-9e29b40dfac0,iso-filecoin,500
Badgeholder 11,160e0cbc-91cc-4dcd-b720-c3a13183cacf,Fil Implementers WG - Cross-Client Coordination and Governance,500
Badgeholder 11,163ab215-74db-458f-bb91-95d950e28d4b,Filecoin FIPs Tracker,5000
Badgeholder 11,1f64b8a1-bdbe-4068-8711-603b6624fb58,Forest,10000
Badgeholder 11,22b40849-0e03-44bb-8631-f958a061df2e,Beryx Filecoin Explorer,500
Badgeholder 11,22faefcd-a56d-4560-9573-e6703d441b78,Filet Finance,500
Badgeholder 11,23cfaeef-a367-44a9-ad63-3e85a80a839d,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,500
Badgeholder 11,2747e810-1c8a-42dd-9124-ff5f4fa5e6e2,witnesschain,10000
Badgeholder 11,28288464-b209-4206-84ac-d3d47b340169,Spacescope: API service for the Filecoin ecosystem,500
