Project Name,Vote Count,Score,Round,Reason,category
Filmint,3,28544,1,Failed quorum with 3 votes,Product & UX
MYRAD,3,12496,1,Failed quorum with 3 votes,Product & UX
Curio APT Repository (Filecoin APT),3,24287,1,Failed quorum with 3 votes,Infra & Deps
Filecoin Address Drainer,3,5279,1,Failed quorum with 3 votes,Tooling & Utilities
FILCAPETOWN,1,2118,1,Failed quorum with 1 votes,Edu & Outreach
Filecoin Kenya Community,3,22618,1,Failed quorum with 3 votes,Edu & Outreach
ETH-FIL swap,2,2618,1,Failed quorum with 2 votes,Tooling & Utilities
Guide To Filecoin - Easing the Transition to Filecoin.,2,8044,1,Failed quorum with 2 votes,Edu & Outreach
ETHNigeria  (BuiDL Africa - Empowering Web3 Adoption),2,12267,1,Failed quorum with 2 votes,Edu & Outreach
Silvi: IPFS-Powered Biodiversity Infrastructure,3,23969,1,Failed quorum with 3 votes,Product & UX
4EVERLAND,2,7866,1,Failed quorum with 2 votes,Tooling & Utilities
Cyberport Data Integration,2,17740,1,Failed quorum with 2 votes,Governance
Root Key Holder management portal,2,7455,1,Failed quorum with 2 votes,Governance
The Epoch Clock,3,5279,1,Failed quorum with 3 votes,Tooling & Utilities
OpenEdStore Decentralized Educational Storage Platform,1,2118,1,Failed quorum with 1 votes,Tooling & Utilities
ETHAccra,1,2118,1,Failed quorum with 1 votes,Edu & Outreach
NanoDC Project,3,10705,1,Failed quorum with 3 votes,Product & UX
JZFS - Building Data Hub-and-Spoke Model with Filecoin,2,13969,1,Failed quorum with 2 votes,Infra & Deps
WarmWeb,3,19594,1,Failed quorum with 3 votes,Governance
OP Medicine - Filecoin-Powered Healthcare Infrastructure,3,22618,1,Failed quorum with 3 votes,Infra & Deps
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",3,2503,1,Failed quorum with 3 votes,Product & UX
Eth Transport - Decentralized Civic Infrastructure on Filecoin,2,13969,1,Failed quorum with 2 votes,Infra & Deps
Retrieval Tester,4,11205,1,Failed minimum funding with 382.10,Tooling & Utilities
FileScope AI: Blockchain-Powered Dataset Analysis Platform,2,13044,1,Failed quorum with 2 votes,Tooling & Utilities
IPFS及Filecoin价值资讯传递（南山居士Hill）,2,6895,1,Failed quorum with 2 votes,Edu & Outreach
B<>rder/ess Developers Program,3,15969,1,Failed quorum with 3 votes,Edu & Outreach
FilDOS,3,12496,1,Failed quorum with 3 votes,Product & UX
boxo-starter-kit,4,11895,1,Failed minimum funding with 405.63,Edu & Outreach
BlockseBlock,2,3544,1,Failed quorum with 2 votes,Edu & Outreach
