Project Name,Vote Count,Average Score,Std Dev,Final Allocation (FIL),category
FilOz - Advancing the Filecoin Protocol,18,33686.444444444445,24512.13534563267,20709.03787838303,Protocol R&D
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",14,41332.0,35426.63044399487,19762.719178585823,Tooling & Utilities
go-libp2p,22,21140.727272727272,19377.727340285775,15884.547495340088,Infra & Deps
FIL-B (FIL Builders) DX and Community,16,28842.5,21627.047303473184,15761.049284770335,Edu & Outreach
Filecoin Data Portal,16,27853.8125,27385.751867759627,15220.778766793865,Infra & Deps
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,17,25824.764705882353,28989.21033447059,14994.001079243211,Infra & Deps
Curio Storage,17,24685.058823529413,25058.143440483047,14332.281546668832,Infra & Deps
UCAN,13,30341.23076923077,35687.14735763621,13471.277705832696,Tooling & Utilities
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",15,25891.733333333334,26149.2617226203,13264.308912676528,Infra & Deps
Secured Finance,15,24419.933333333334,18457.188698122347,12510.307254836805,Infra & Deps
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,13,27136.53846153846,27248.07037392857,12048.418482783338,Infra & Deps
Filscan Explorer,19,15750.052631578947,14733.291038678675,10220.399062834376,Tooling & Utilities
Crossfi,8,34318.0,34786.52231622389,9376.574314895524,Edu & Outreach
ND Labs,11,23918.545454545456,17930.433772575812,8985.860949597412,Governance
Filliquid,8,31722.375,33739.414119468645,8667.381742306776,Edu & Outreach
Blockscout Open Source Filecoin Explorer,17,14378.176470588236,14380.485019790249,8348.048703361203,Infra & Deps
Chain.Love,17,14184.058823529413,10733.819715451882,8235.342924909826,Infra & Deps
Forest,13,18300.69230769231,14344.131822134417,8125.369407754239,Infra & Deps
Eastore,9,26139.333333333332,42009.210368084765,8034.692486000174,Tooling & Utilities
Lily: blockchain data extraction for Filecoin,13,17967.30769230769,19488.51006954532,7977.349152054761,Tooling & Utilities
Beryx Filecoin Explorer,14,16312.857142857143,17946.67954656941,7799.922934159333,Tooling & Utilities
Boost,15,15210.2,13808.818286049784,7792.170142732526,Infra & Deps
Lighthouse,14,16171.285714285714,24953.773975180502,7732.231160556112,Tooling & Utilities
Beryx Filecoin API,12,18837.583333333332,26848.884478124914,7720.379977185618,Tooling & Utilities
FIP Editors - Filecoin Improvement Proposal Governance,11,19571.18181818182,22621.99646723596,7352.617606772151,Governance
filecoin-checker,9,22703.444444444445,22826.006643251854,6978.571035378364,Tooling & Utilities
Asia-SPWG,11,18488.81818181818,14486.054582378058,6945.988819426057,Governance
Filecoin Beam,9,22550.88888888889,19501.205324571893,6931.6786008893505,Protocol R&D
Drips,17,11910.764705882353,9627.711218985356,6915.455799445592,Product & UX
FIP 100 Research & Development,12,16848.333333333332,28245.062401428786,6905.107359787784,Protocol R&D
Old Faithful,8,23996.375,34753.66327222622,6556.436665178656,Tooling & Utilities
chainfee,7,26065.0,21477.99280659159,6231.434184044318,Tooling & Utilities
OrbitChina,8,22068.0,19318.913545316896,6029.554227551561,Edu & Outreach
Boxo and Kubo,13,13377.538461538461,12336.666754134365,5939.5262178552475,Infra & Deps
Fil Implementers WG - Cross-Client Coordination and Governance,10,16692.5,22786.50309210842,5701.033959998891,Governance
Filecoin Ledger App & Installation Hub,10,16162.4,23778.710362189304,5519.98749588654,Tooling & Utilities
Open Source Observer (OSO),8,19199.875,16771.121288329447,5245.907534652506,Governance
Storacha-Solana-SDK,8,18879.875,15509.555233905692,5158.475173187195,Tooling & Utilities
MechaFIL-JAX,7,21576.14285714286,35007.309234066015,5158.270253590011,Protocol R&D
Lynx - Storage Provider Retrieval Analytics Platform,11,13711.272727272728,9399.597928538316,5151.132220954757,Tooling & Utilities
Safe on Filecoin,13,11595.153846153846,9972.29382544586,5148.160886795584,Governance
Helia,13,11546.692307692309,8468.856469290047,5126.644329091229,Tooling & Utilities
Filecoin Client Implementation - Venus,11,13626.181818181818,11248.541121569338,5119.164763794002,Infra & Deps
Curio Dashboard,10,14864.5,30086.557035955073,5076.712253910649,Tooling & Utilities
Axelar Network,11,13290.363636363636,11506.056798684136,4993.002598460853,Infra & Deps
IPFS Public Utilities,11,13201.636363636364,7640.391551127825,4959.669010652203,Infra & Deps
CIDgravity Filecoin Gateway,13,11125.461538461539,12875.098857972474,4939.621043394337,Product & UX
Ancients Research,7,17556.428571428572,10570.113021425754,4197.265649327924,Governance
IPFS Desktop and Companion,9,13526.888888888889,17535.338579882373,4157.886933402337,Tooling & Utilities
Filosign,6,20264.833333333332,39170.318714131834,4152.661483674136,Product & UX
Curio Snark Market,10,12082.9,16138.047991900658,4126.705001364121,Infra & Deps
Filecoin BigQuery Data Repository,11,10861.181818181818,13495.890988135476,4080.393172400464,Tooling & Utilities
Metrics for the Filecoin P2P network health,10,11274.5,10292.097715669479,3850.609997424442,Tooling & Utilities
filsnap,11,9620.727272727272,10201.75194847345,3614.371855137113,Tooling & Utilities
Forest Archive,11,9548.454545454546,14314.088838369256,3587.2200085101904,Infra & Deps
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,11,8771.90909090909,8400.930549106397,3295.482808652107,Infra & Deps
Filecoin Community Service -VenusHub,9,10466.111111111111,13465.515655225057,3217.066909462906,Edu & Outreach
Filecoin Deal Tool - Droplet,9,10168.666666666666,9734.225611213253,3125.6386158524997,Tooling & Utilities
MetaEra,7,12995.57142857143,14024.138854812,3106.888472710134,Edu & Outreach
Filecoin Spark,7,12391.714285714286,8182.36906839508,2962.5226164937776,Protocol R&D
OneForm - SocialCap,7,12252.42857142857,13066.925471805303,2929.223181951325,Governance
Filecoin Slack Community Admin,11,7770.818181818182,9439.323575534232,2919.3870412864776,Governance
Spacescope: API service for the Filecoin ecosystem,8,10274.625,11858.913030622036,2807.296021626652,Tooling & Utilities
FilPunks,7,11718.42857142857,11077.797492539494,2801.558272905491,Product & UX
Filecoin FIPs Tracker,9,8852.666666666666,3913.046639129158,2721.1273310106435,Tooling & Utilities
FIL RetroPGF Data Analysis & Round Modeling,10,7423.2,13574.331821493093,2535.265256364461,Governance
CalibrationNet Stability Project,9,7333.0,4947.558690910094,2254.013109228976,Infra & Deps
GainForest: The world’s first community-owned data commons for nature impact,7,9061.285714285714,4604.057547942022,2166.307521634085,Product & UX
